Vermont,7,2016,64.7,12
Virginia,7,2016,74.6,36
Washington,7,2016,61.8,17
West Virginia,7,2016,71.6,13
Wisconsin,7,2016,67.9,14
Wyoming,7,2016,65.3,39
Alabama,8,2016,81.8,29
Arizona,8,2016,79.9,2
Arkansas,8,2016,81.0,20
California,8,2016,76.5,21
Colorado,8,2016,66.8,40
Connecticut,8,2016,74.0,22
Delaware,8,2016,79.1,41
Florida,8,2016,83.5,3
Georgia,8,2016,82.2,23
Idaho,8,2016,64.8,24
Illinois,8,2016,75.6,25
Indiana,8,2016,75.1,32
Iowa,8,2016,72.4,42
Kansas,8,2016,78.0,43
Kentucky,8,2016,77.9,18
Louisiana,8,2016,83.0,33
Maine,8,2016,66.8,15
Maryland,8,2016,78.2,0
Massachusetts,8,2016,72.6,30
Michigan,8,2016,70.6,4
Minnesota,8,2016,68.7,26
Mississippi,8,2016,82.2,8
Missouri,8,2016,77.4,37
Montana,8,2016,65.2,31
Nebraska,8,2016,73.0,9
Nevada,8,2016,72.9,1
New Hampshire,8,2016,68.4,44
New Jersey,8,2016,77.0,45
New Mexico,8,2016,73.5,34
New York,8,2016,70.6,10
North Carolina,8,2016,79.6,5
North Dakota,8,2016,68.6,35
Ohio,8,2016,75.4,6
Oklahoma,8,2016,82.0,27
Oregon,8,2016,65.6,47
Pennsylvania,8,2016,73.2,16
Rhode Island,8,2016,73.9,7
South Carolina,8,2016,82.8,11
South Dakota,8,2016,72.0,19
Tennessee,8,2016,79.4,46
Texas,8,2016,83.4,38
Utah,8,2016,71.9,28
Vermont,8,2016,67.4,12
Virginia,8,2016,77.2,36
Washington,8,2016,64.8,17
West Virginia,8,2016,74.4,13
Wisconsin,8,2016,69.7,14
Wyoming,8,2016,65.2,39
Alabama,9,2016,80.1,29
Arizona,9,2016,74.6,2
Arkansas,9,2016,77.9,20
California,9,2016,72.8,21
Colorado,9,2016,62.1,40
Connecticut,9,2016,70.0,22
Delaware,9,2016,75.3,41
Florida,9,2016,82.0,3
Georgia,9,2016,79.6,23
Idaho,9,2016,59.6,24
Illinois,9,2016,73.2,25
Indiana,9,2016,72.8,32
Iowa,9,2016,69.6,42
Kansas,9,2016,73.6,43
Kentucky,9,2016,75.1,18
Louisiana,9,2016,81.3,33
Maine,9,2016,62.8,15
Maryland,9,2016,74.8,0
Massachusetts,9,2016,68.6,30
Michigan,9,2016,67.2,4
Minnesota,9,2016,64.4,26
Mississippi,9,2016,80.5,8
Missouri,9,2016,74.2,37
